;Annexe : liste des établissements de santé en activité en 2017,;Unnamed: 1;Unnamed: 2;Unnamed: 3
0;dont les services de chirurgie ont réalisé moins de 750 séjours en 2015;;;
1;;;;
2;;;;
3;Département;Établissement;Catégorie;Nombre de séjours chirurgicaux (« GHM en C »)
4;83;CH de St-Tropez;CH;177
5;18;CH de St-Amand-Montrond;CH;218
6;16;CH du Pays de Cognac;CH;220
7;85;CH de Fontenay;CH;295
8;26;CH de Crest[1];CH;302
9;64;Clinique Fondation Luro;ESPIC;304
10;69;CH de Givors;CH;306
11;81;CH de Lavaur;CH;317
12;62;Polyclinique Riaumont de Liévin;ESPIC;326
13;26;CH de Die;CH;333
14;67;Clinique St-Luc – GHSV;ESPIC;339
15;87;CH de St Yrieix;CH;348
16;23;CH d’Aubusson;CH;368
17;76;CHIC Caux Vallée de Seine;CH;383
18;44;CH de Châteaubriant;CH;390
19;45;CH P. Dezarnauld de Gien;CH;397
20;55;CH de Bar-le-Duc;CH;493
21;1;Clinique ambulatoire Cendaneg;Privé;498
22;46;CH de Gourdon;CH;515
23;22;CH René Pléven de Dinan;CH;525
24;85;CH des Sables d'Olonne;CH;574
25;76;Clinique Les Aubépines;Privé;594
26;24;CH Jean Leclaire de Sarlat;CH;638
27;28;CH de Châteaudun;CH;656
28;69;CH de Ste Foy Les Lyon;CH;675
29;68;CH de Guebwiller;CH;697
30;59;Clinique de Villeneuve d'Ascq;Privé;702
31;84;CHIC de Cavaillon-Lauris;CH;720
32;12;CH de Decazeville;CH;746
33;;;;
34;;;;
35;[1] L’activité chirurgicale totale réalisée au sein du bloc opératoire du centre hospitalier de Crest est de 1 114 séjours, compte tenu des 812 séjours complémentaires réalisés par le centre hospitalier de Valence dans le cadre de la fédération chirurgicale inter-hospitalière mise en place en 2002 par ces deux établissements.;;;
