;Annexe : soutiens fiscaux et sociaux aux familles (2015);Unnamed: 1;Unnamed: 2
0;;;
1;;;
2;Dispositifs;Montants 2015;Effectifs 2015
3;;(M€);(milliers)
4;Prestations sociales;42 830;
5;Prestations d’entretien;19 090;5 820
6;Allocations familiales;12 860 ;4 870 
7;Complément familial;1 900 ;850
8;Allocation de soutien familial;1 470 ;750
9;Allocation d’éducation de l’enfant handicapé;810;240
10;Allocation de présence parentale;70;6
11;Allocation de rentrée scolaire;1 980 ;2 980 
12;Prestations et action sociale petite enfance;15 340;2 140
13;Prestation d’accueil du jeune enfant (PAJE);12 460 ;2 140 
14;dont Allocation de base (AB);4 100 ;1 760 
15;dont Congé parental : congé de libre choix d’activité (CLCA) puis Prestation partagée d’éducation de l’enfant (PREPARéE);1 790 ;440
16;dont Complément de mode de garde (CMG);6 170 ;830
17;dont Prime de naissance;400[1];580
18;Action sociale petite enfance;2 880 ;
19;Action sociale hors petite enfance et logement;2540;
20;Autres prestations (frais de tutelle notamment);430;
21;Aides au logement en faveur des familles;4 230;
22;Dont part des aides au logement liées à la présence d’enfants dans le logement[2];4 100 ;
23;Dont action sociale logement;130;
24;Part des prestations d’assistance (RSA socle) et de prime d’activité liées à la présence d’enfants[3];1 200;
25;Dispositifs fiscaux;16 600;8 772
26;Quotient familial;12 100;7 097
27;Dont demi-part supplémentaire à partir du 3ème enfant;200;125
28;Abattements, réductions et crédits d’impôts;1400;
29;Dont crédit d’impôt « frais de garde des enfants »;1200;3 795
30;Prime pour l’emploi;200;2008
31;Taxe d’habitation;2900;7632
32;TOTAL;59430;
33;;;
34;;;
35;[1] Montant obtenu en extrapolant sur 12 mois les prestations versées en décembre.;;
36;[2] La part des dépenses relatives aux aides au logement liée à la présence d’enfant(s) a été évaluée à 4,1 Md€ par la DREES en 2013.;;
37;[3] La part des dépenses relatives au RSA socle liée à la présence d’enfant(s) a été évaluée à 0,9 Md€ par la DREES en 2013.;;
