;Graphique n° 17 : distribution des honoraires (hors dépassements) entre les spécialités (2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
0;;;;;
1;;;;;
2;Anesthésistes;1240844812.4899979;0.08344952920343826;Anesthésistes;0.08344952920343826
3;Cardiologues;1181957958.95;0.07948925943019919;Cardiologues;0.07948925943019919
4;Chirurgiens;2001234963.6499863;0.1345874309672366;Chirurgiens;0.1345874309672366
5;Ragiologues;2721466322.4500117;0.18302456605813194;Radiologues;0.18302456605813194
6;Gynécologues-Médicaux et obstétriques;1052823905.1199961;0.07080471170289654;Gynécologues-médicaux et obstétriques;0.07080471170289654
7;Ophtalmologues;1649853569.7499964;0.11095626323647058;Ophtalmologues;0.11095626323647058
8;Psychiatres-neuro-psychiatres;773300302.1300006;0.05200613767013293;Psychiatres et neuro-psychiatres;0.05200613767013293
9;Autres spécialités;4329047544.789998;0.2911379214191119;Autres spécialités;0.2911379214191119
10;;;1.005455819687618;;
