;Graphique n° 22 : effectifs de chirurgiens;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41
0;(2000-2016, projection à 2040)[1];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;[1] L’agrégat « chirurgie » retrace l’ensemble des spécialités chirurgicales, à l’exception de la gynécologie-obstétrique et de l’ORL. Les « autres spécialités chirurgicales » recouvrent la neurochirurgie et les chirurgies thoracique et cardio-vasculaire, infantile et esthétique.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0;2027.0;2028.0;2029.0;2030.0;2031.0;2032.0;2033.0;2034.0;2035.0;2036.0;2037.0;2038.0;2039.0;2040.0
7;Chirurgie générale;5186.32216709;4838.16439413;4852.28824417;4801.628185369999;4640.94126359;4492.444625160001;4328.50690022;4237.76418601;4114.35547058;3972.03083018;3794.0;3769.0;3654.0;3628.0;3638.0;3611.0;3610.0;;;;;;;;;;;;;;;;;;;;;;;;
8;Chirurgie maxillo-faciale et stomatologie;1473.31035992;1467.67274266;1472.02285318;1475.36768794;1446.86072192;1434.21334987;1400.65233723;1387.32115934;1352.56224748;1342.61794877;1321.0;1310.0;1231.0;1214.0;1195.0;1170.0;1165.0;;;;;;;;;;;;;;;;;;;;;;;;
9;Chirurgie orthopédique et traumatologie;1611.39096553;1722.17827358;1898.35680067;2025.63002831;2119.85975658;2218.174072519999;2312.36761873;2420.6041477;2503.26721252;2573.60652231;2570.0;2668.0;2864.0;2983.0;3060.0;3157.0;3241.0;;;;;;;;;;;;;;;;;;;;;;;;
10;Chirurgie urologique;394.2328615600001;441.69754873;473.83495245;515.03405173;549.8356257700001;605.1851613700001;712.5658173800001;753.96980402;799.96960753;866.8164115699999;900.0;935.0;1003.0;1051.0;1091.0;1171.0;1228.0;;;;;;;;;;;;;;;;;;;;;;;;
11;Chirurgie viscérale et digestive;440.02670228;454.08697173;475.4134353000001;491.62261959;538.4223661;661.47106666;673.72153724;716.07695614;744.11282317;756.04901336;771.0;798.0;854.0;905.0;930.0;977.0;1007.0;;;;;;;;;;;;;;;;;;;;;;;;
12;Chirurgie;10062.9238;9996.4567;10301.0282;10543.547400000001;10644.8582;10840.575799999999;10924.1343;11109.2024;11210.473899999999;11281.4609;11162.0;11367.0;11848.0;12057.0;12262.0;12447.0;12689.4;12866.2;13049.6;13211.0;13394.8;13591.2;13786.4;13978.4;14190.2;14366.2;14578.8;14824.4;15034.6;15290.4;15537.0;15773.6;16030.0;16308.4;16585.4;16833.2;17116.0;17431.8;17742.6;18018.2;18301.8
13;Gynécologie-obstétrique;5259.59216482;5146.950202339999;5253.69384653;5351.913326580001;5379.53267448;5205.8488176;5251.984475130001;5346.36737009;5467.08105166;5592.882684090001;5624.0;5735.0;4113.0;4253.0;4392.0;4577.0;4724.0;4736.8;4871.6;4991.2;5134.2;5260.6;5412.6;5547.8;5684.2;5826.6;5971.6;6112.0;6252.0;6401.0;6551.8;6686.8;6841.4;6994.4;7165.4;7308.2;7460.4;7626.2;7777.8;7923.8;8085.4
14;ORL et chirurgie cervico-faciale;2935.06652133;2932.99439785;2973.05921526;3024.62770668;3015.28315093;3029.94171181;3015.288255010001;2996.82221983;2993.60374185;2975.32381621;2966.0;2983.0;3029.0;3056.0;3071.0;3054.0;3076.0;2895.4;2854.0;2809.2;2758.4;2698.8;2661.8;2614.0;2573.6;2538.0;2516.0;2487.2;2460.8;2456.2;2464.2;2472.0;2509.8;2535.2;2556.8;2578.2;2615.4;2665.0;2701.8;2745.0;2788.8
15;Autres spécialités chirurgicales;1048.18409118;1167.76153886;1244.2262867499999;1370.7958795000002;1508.97223492;1621.34795463;1700.4219671300002;1820.6999775299996;1883.8637618700002;1998.17748486;2038.0;2130.0;2435.0;2494.0;2595.0;2655.0;2731.0;;;;;;;;;;;;;;;;;;;;;;;;
