;Graphique n° 31 : effort financier en faveur des familles;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
0;;;;;;;;;
1;;;;;;;;;
2;;2001.0;2003.0;2005.0;2007.0;2009.0;2011.0;2013.0;
3;Autriche;2.71;2.89;2.78;2.56;2.84;2.64;2.62;-0.03321033210332098
4;Belgique;3.08;3.17;3.07;3.12;3.35;3.35;3.38;0.09740259740259734
5;Canada;1.16;1.19;1.18;1.48;1.56;1.45;1.43;0.2327586206896552
6;Danemark;3.46;3.67;3.5;3.56;3.96;3.81;3.66;0.05780346820809254
7;France;3.81;3.81;3.82;3.7;3.77;3.71;3.7;-0.028871391076115454
8;Allemagne;3.06;3.23;2.97;2.7;3.04;3.06;3.12;0.01960784313725492
9;Irlande;2.36;2.85;2.79;2.94;4.03;3.57;3.4;0.44067796610169496
10;Italie;1.22;1.21;1.21;1.32;2.01;1.81;1.97;0.6147540983606558
11;Pays-Bas;1.82;2.3;2.4;2.79;2.19;2.03;1.82;0.0
12;Espagne;0.89;1.17;1.29;1.55;1.77;1.48;1.45;0.6292134831460673
13;Suède;2.94;3.14;3.15;3.2;3.54;3.45;3.64;0.23809523809523817
14;Royaume-Uni;2.74;3.35;3.4;3.61;4.25;4.27;3.97;0.44890510948905105
15;États-Unis;1.68;1.61;1.49;1.38;1.34;1.25;1.19;-0.2916666666666667
16;;2.379230769230769;;;;;;2.719230769230769;
