;Tableau n° 1 : évolution des déficits sociaux (2011-2016);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;;;;;;;;
1;;Résultat 2011;Résultat 2012;Résultat 2013;Résultat 2014;Résultat 2015;Résultat 2016;Résultat 2016 hors produit de CSG
2;Maladie;-8.6;-5.9;6.8;-6.5;-5.8;-4.8;-5.5
3;AT-MP;-0.2;-0.2;0.6;0.7;0.7;0.8;0.8
4;Famille;-2.6;-2.5;-3.2;-2.7;-1.5;-1;-1
5;Vieillesse;-6;-4.8;-3.1;-1.2;-0.3;0.9;0.9
6;Régime général;-17.4;-13.3;-12.5;-9.7;-6.8;-4.1;-4.8
7;FSV;-3.4;-4.1;-2.9;-3.5;-3.9;-3.6;-3.6
8;Vieillesse + FSV;-9.5;-8.9;-6;-4.7;-4.2;-2.8;-2.8
9;Total régime général + FSV;-20.9;-17.5;-15.4;-13.2;-10.8;-7.8;-8.5
10;Régimes obligatoires de base;-19.9;-15;-13.1;-9.3;-6.4;-3.4;-4.1
11;Régimes obligatoires de base et FSV;-22.6;-19.1;-16;-12.8;-10.3;-7;-7.7
