;Tableau n° 12 : formation du résultat 2016 de la branche AT-MP;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;2015.0;Variation 2015 en %;2016.0;Variation 2016 en montant;Variation
3;;;;;;2016
4;;;;;;en %
5;Charges nettes;11.9;1.8;11.8;-0.1;-0.5
6;dont;;;;;
7;Prestations sociales nettes;8.8;0.7;8.8;-0.1;-0.6
8;dont prestations légales;8.2;1.6;8.2;0;0
9;dont autres prestations;0.6;-9.6;0.6;-0.1;-8.4
10;Transferts nets;2.1;6.8;2.2;0;+0.9 
11;dont transferts entre organismes;1.7;8.4;1.6;0;-2.4
12;Charges de gestion courante;0.9;0.3;0.9;0;-2.8
13;Produits nets;12.6;2.1;12.6;0;-0.4
14;dont;;;;;
15;Cotisations sociales brutes;12.3;1.6;12.3;0;0.1
16;Contributions, impôts et taxes bruts;0.0;-66.8;0.0;0;-4.8
17;Autres produits nets;0.3;7.7;0.4;0.1;30.6
18;Résultat net;0.7;;0.8;0;
