;Tableau n° 4 : estimation du solde structurel du régime général et du FSV;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
0;;;;;
1;Hypothèses d’écart de production;Gouvernement;;Commission européenne;
2;;2015;2016;2015;2016
3;Solde du régime général et du FSV;-10.8;-7.8;-10.8;-7.8
4;(en point de PIB);;;;
5;;(-0,5);(-0,3);(-0,5);(-0,3)
6;Recettes*;361;365;361;365
7;Écart de production ;-2,7 %;-2,8 %;-1,4 %;-0.013
8;Solde conjoncturel;-9.5;-9.9;-4.9;-4.6
9;Facteurs exceptionnels;1.3;1.3;1.3;1.3
10;Solde structurel;-2.6;0.8;-7.2;-4.5
11;(en point de PIB);(-0,1);(+0,0);(-0,3);(-0,2)
