;Tableau n° 41 : comparaison des dépenses exécutées en 2016 par rapport aux objectifs initiaux et révisés;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;;;;;;;;
1;;Objectif 2016 (LFSS 2016);Objectif 2016 (LFSS 2017);Réalisé provisoire 2016;Taux d'évolution (réalisé provisoire 2016);Écart LFSS 2016;Écart LFSS 2017;Comparaison sur/sous-exécution 2015
2;Soins de ville;84308;84553;85075;2.4;767;522;250
3;Établissements de santé;77920;77947;77566;1.6;-354;-381;-214
4;Établissements de santé tarifés à l'activité;58117;58521;58301;2.3;184;-220;-47
5;Autres dépenses relatives aux établissements de santé;19803;19426;19275;-0.6;-528;-150;-167
6;Établissements médico-sociaux;18183;18012;17900;1;-283;-112;-113
7;ESMS personnes âgées;8866;8773;8750;0.9;-116;-23;-44
8;ESMS handicapés;9317;9239;9150;1;-167;-89;-69
9;FIR;3086;3050;3018;-1;-68;-32;-8
10;Autres prises en charge;1698;1623;1599;1.6;-99;-24;-50
11;Total ONDAM;185195;185185;185158;1.8;-37;-27;-135
