;Tableau n° 46 : progression des dépenses du champ de;Unnamed: 1
0;l’ONDAM 2017 selon la Cour;
1;;
2;ONDAM 2017;190735
3;Taux d'évolution cible;+2,15 %
4;+ Réforme des cotisations des PAMC;270
5;+ Prélèvement sur les réserves du FFIP;220
6;ONDAM 2017 (selon Cour des comptes);191225
7;Progression des dépenses de l’ONDAM 2017 (selon Cour des comptes);+2,4 %
8;+ Variation / 2016 des dépenses médico-sociales sorties de l’ONDAM par prélèvement sur les réserves de la CNSA;+230
9;+ Variation / 2016 des dépenses FMESPP sorties de l’ONDAM par prélèvement sur les réserves de l’ANFH et du FEH;+180
10;Dépenses 2017 relevant du champ de l’ONDAM à périmètre constant (selon Cour des comptes);191175
11;Progression des dépenses du champ de l’ONDAM (selon Cour des comptes);+2,4 %
