;Tableau n° 53 :  tableau patrimonial au 31 décembre 2016;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;;;;;;;;
1;;;;;;;;
2;ACTIF (en M€ );2016.0;2015.0;Var.;PASSIF (en M€);2016.0;2015.0;Var.
3;IMMOBILISATIONS;7.0;6.9;0.1;CAPITAUX PROPRES;-101.4;-109.5;8.1
4;Immobilisations non financières;4.5;4.4;0.2;Dotations;25.8;27.4;-1.6
5;Régime général;3.7;3.6;0.1;Régime général;0.6;0.6;0
6;Autres régimes;0.9;0.8;0.1;Autres régimes;5.4;4.9;0.5
7;;;;;CADES;0.2;0.2;0
8;;;;;FRR;19.7;21.8;-2.1
9;Prêts, dépôts de garantie et autres ;1.6;1.6;-0.1;Réserves ;16.5;14.3;2.2
10;Régime général;1.1;1.2;0;Régime général;2.6;2.7;0
11;Autres régimes;0.4;0.4;0;Autres régimes;6.9;6.1;0.8
12;;;;;FRR;7.0;5.5;1.5
13;Avances / prêts accordés à des organismes de la sphère sociale (Ugecam, UIOSS);0.9;0.9;0;Report à nouveau ;-155.6;-158.8;3.2
14;Régime général;0.9;0.9;0;Régime général;-1.3;-14.2;12.8
15;;;;;Autres régimes;-3.7;-4.2;0.5
16;;;;;FSV;-0.1;-0.1;0
17;;;;;CADES;-150.4;-140.3;-10.1
18;;;;;Résultat de l'exercice;8.1;4.7;3.4
19;;;;;Régime général;-4.1;-6.8;2.7
20;;;;;Autres régimes;0.7;0.4;0.3
21;;;;;FSV;-3.6;-3.9;0.3
22;;;;;CADES;14.4;13.5;0.9
23;;;;;FRR;0.7;1.5;-0.8
24;;;;;Autres;3.8;3.0;0.8
25;;;;;FRR;3.7;2.9;0.8
26;;;;;PROVISIONS POUR;15.8;15.8;-0.1
27;;;;;RISQUES ET CHARGES;;;
28;;;;;Régime général;13.1;13.4;-0.2
29;;;;;Autres régimes;2.4;2.3;0.1
30;;;;;FSV;0.1;0.0;0
31;;;;;CADES;0.1;0.1;0
32;ACTIF FINANCIER;55.1;60.8;-5.6;PASSIF FINANCIER;173.1;181.6;-8.5
33;Valeurs mobilières et titres de placement;46.8;50.1;-3.3;Dettes représentées par un titre (obligations, billets de trésorerie, ECP);161.2;165.2;-4
34;Régime général;0.0;0.0;0;Régime général (échéance < 1 an);20.4;27.4;-7
35;Autres régimes;8.3;7.8;0.6;CADES (échéance < 1 an);29.4;26.7;2.7
36;FSV;0.0;0.0;0;CADES (échéance > 1an);111.3;111.1;0.2
37;CADES;4.0;9.5;-5.5;Dettes à l'égard d'établissements de crédits;5.2;10.6;-5.4
38;FRR;34.5;32.8;1.7;Régime général (y compris prêts CDC);3.8;8.6;-4.7
39;Encours bancaire;7.6;10.3;-2.7;Autres régimes (y compris prêts CDC);0.4;1.1;-0.7
40;Régime général;1.1;1.6;-0.5;CADES;1.0;1.0;0
41;Autres régimes;2.9;2.1;0.8;;;;
42;FSV;0.9;0.9;0;;;;
43;CADES;1.6;2.3;-0.6;Dépôts;1.1;1.1;-0.1
44;FRR;1.1;3.4;-2.3;Régime général ;1.1;1.1;-0.1
45;Créances nettes au titre des instruments financiers;0.7;0.4;0.3;Dettes nettes au titre des instruments financiers;0.5;0.0;0.5
46;CADES;0.3;0.2;0.1;ACOSS;0.5;0.0;0.5
47;FRR;0.4;0.2;0.3;;;;
48;;;;;Autres;5.2;4.6;0.6
49;;;;;CADES;5.1;4.6;0.6
50;ACTIF CIRCULANT;80.2;75.0;5.2;PASSIF CIRCULANT;54.9;54.7;0.2
51;Créances de prestations ;8.7;8.1;0.6;Dettes à l'égard des bénéficiaires (y compris CAP);28.8;27.4;1.4
52;Créances de cotisations, contributions sociales et d'impôts de sécurité sociale;10.5;10.7;-0.2;Dettes à l'égard des cotisants (y compris CAP);2.0;2.6;-0.6
53;Produits à recevoir de cotisations, contributions sociales et impôts de sécurité sociale ;40.9;38.7;2.3;;;;
54;Créances sur l'État, autres entités publiques et organismes de sécurité sociale;10.5;8.3;2.3;Dettes à l'égard de l'État, autres entités publiques et organismes de sécu. (y compris CAP);8.8;10.5;-1.7
55;Produits à recevoir de l'État ;0.5;0.5;0;;;;
56;Autres actifs (débiteurs divers, comptes d'attente et de régul.);9.1;8.8;0.4;Autres passifs (créditeurs divers, comptes d'attente et de régul.) (yc CAP);15.3;14.2;1.1
57;TOTAL DE L'ACTIF;142.4;142.7;-0.3;TOTAL DU PASSIF ;142.4;142.7;-0.3
