;"Tableau n° 55 : dépenses d’actes de spécialistes présentées à l’assurance maladie pour remboursement ; dépenses remboursables et remboursées ; dépassements non remboursables (2009-2015)";Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;;;;;;;;
1;;;;;;;;
2;;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0
3;Dépenses présentées au remboursement;12.9;13.1;13.5;13.7;14.0;14.3;14.9
4;(1+2);;;;;;;
5;En % des dépenses totales évaluées par la DREES;92.4;92.5;92.9;91.5;91.9;91.2;92.2
6;Variation en valeur (en %);1.4;2.1;2.9;1.2;2.4;2.3;3.8
7;Dépenses remboursables (1);10.8;11.0;11.2;11.3;11.6;11.8;12.3
8;En % des dépenses présentées au remboursement;83.9;83.6;83.1;82.9;82.8;82.4;82.5
9;Variation en valeur (en %);0.7;1.7;2.3;0.9;2.2;1.9;3.9
10;Dont dépenses remboursées;9.6;9.8;10.1;10.3;10.4;10.8;11.1
11;En % des dépenses présentées au remboursement;74.9;75.0;74.5;75.1;74.6;75.3;74.7
12;En % des dépenses remboursables;89.3;89.7;89.6;90.5;90.2;91.3;90.6
13;Variation en valeur (en %);1.5;2.2;2.2;2.0;1.8;3.2;3.1
14;Dépassements (2);2.1;2.1;2.3;2.3;2.4;2.5;2.6
15;En % des dépenses présentées au remboursement;16.1;16.4;16.9;17.1;17.2;17.6;17.5
16;Variation en valeur (en %);5.2;3.9;6.0;2.4;3.4;4.2;3.4
