;Tableau n° 8 : dépenses du régime général et du FSV;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;;2015.0;Variation;2015;2016 dans la LFSS 2017;Réalisé 2016;Variation
3;;;en %;pro forma;;;en %
4;Charges nettes ;349.2;1;371.8;373.5;372.7;0.2
5;Prestations sociales nettes;318.2;1.9;342.5;344.1;343.7;0.3
6;dont prestations légales nettes;311.3;1.9;337.1;336.7;338.1;0.3
7;dont prestations extralégales nettes;5.3;6;5.4;5.5;5.5;2.7
8;Transferts nets versés;20.1;-9.3;17.2;17.1;17;-1.4
9;Charges de gestion courante;10.9;-2.1;12.1;12.1;12;-0.9
10;Autres charges ;0.1;ns;0.1;0.1;0.1;-
