;Tableau n° 96 :  nature des suites données aux recommandations;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10
0;par domaine;;;;;;;;;;
1;;;;;;;;;;;
2;;;;;;;;;;;
3;;Nombre de recommandations;%;Totalement mise en œuvre;Mise en œuvre en cours;Mise en œuvre incomplète;Degré de mise en œuvre (en %);Degré de mise en œuvre 2016;Non mise en œuvre;Refus de mise en œuvre ;Devenue sans objet
4;;;;;;;;(en %);;;
5;Ressources et financement de la sécurité sociale;44;23 %;6;8;3;39 %;44 %;24;2;1
6;Prise en charge des dépenses et gouvernance du système de santé;29;15 %;3;7;11;72 %;67 %;7;1; -
7;Dépenses d’assurance maladie – ville;49;25 %;2;3;24;59 %;63 %;17;2;1 -
8;Dépenses d’AM - établissements de santé;30;15 %;1;11;6;60 %;56 %;12; -; -
9;Retraite;9;5 %;3;1;1;56 %;67 %;- ;4; -
10;Organisation et gestion de la sécurité sociale;34;17 %;2;10;10;65 %;61 %;7;4;1
11;Total ;195;100 %;17;40;55;57 %;57 %;67;13;3
