produits nets 2020 du régime général et du FSV;;;;;;;;;
;;;;;;;;;
En Md€;Réalisé 2020;;LFSS         2020;Écart ;Écart             en %;;Réalisé 2019;Écart ;"Écart 
en %"
Cotisations sociales brutes;191.9;;208.1;-16.19999999999999;-0.07784718885151365;;203.7;-11.799999999999983;-0.057928325969563
dont salariés;181.5;;194.5;-13;-0.06683804627249357;;190;-8.4;-0.044
dont non-salariés;8.3;;10.3;-2;-0.1941747572815534;;11.3;-3.1;-0.27
Cot. prises en charge p. l’État (nettes);6.5;;5;1.5;0.3;;5.3;1.2000000000000002;0.22641509433962267
CSG brute;97.3;;102;-4.700000000000003;-0.04607843137254905;;100.8;-3.5;-0.034722222222222224
dont sur revenus d'activité;63;;66.8;-3.799999999999997;-0.05688622754491014;;66.7;-3.8;-0.057
dont sur revenus de remplacement;22.1;;21.2;0.9000000000000021;0.04245283018867935;;20.9;1.2;0.058
dont sur revenus du capital;11.7;;11.7;0;0;;12.5;-0.7;-0.059
Autres contributions brutes;8;;6.7;1.2999999999999998;0.19402985074626863;;6.8;1.2000000000000002;0.17647058823529416
Impôts et taxes bruts;77.2;;79.4;-2.200000000000003;-0.027707808564231773;;77;0.20000000000000284;0.0025974025974026343
dont TVA nette;36.8;;40.8;-4;-0.09803921568627452;;41;-4.200000000000003;-0.10243902439024397
dont droits tabac;14.8;;13.5;1.3000000000000007;0.09629629629629635;;13;1.8000000000000007;0.13846153846153852
dont taxe sur les salaires;14.5;;14.6;-0.09999999999999964;-0.006849315068493127;;12.3;2.1999999999999993;0.1788617886178861
Charges de non-recouvrement;-7.5;;-1.7;-5.8;3.411764705882353;;-1.6;-5.9;3.6875
Transferts nets reçus;8.9;;3.7;5.2;1.4054054054054055;;4;4.9;1.225
Autres produits nets;8.3;;6.3;2.000000000000001;0.3174603174603176;;6.7;1.6000000000000005;0.2388059701492538
Total produits RG + FSV;390.8;;409.6;-18.80000000000001;-0.04589843750000003;;402.6;-11.800000000000011;-0.029309488325881795
;;;;;;;;;
Source : Cour des comptes, d’après les données de la LFSS 2020 et de la CCSS de juin 2021;;;;;;;;;
